place,Lat,Long,OverallAverage,September,October,November,December,January,February,March,April
6057,28.65749579,77.01428673,43.33333333,,37,,,,62,,31
6058,28.65349579,77.01428673,19,,,,,,,,19
6059,28.64949579,77.01428673,90,,90,,,,,,
6060,28.64549579,77.01428673,89.97619049,73.5,125.1666667,149.6666667,64.33333333,,108.6666667,53.5,55
6061,28.64149579,77.01428673,105.2669196,66.92241379,129.9450549,173.4032258,146.7555556,119.1818182,91.02023121,67.85087719,47.05617978
6067,28.61749579,77.01428673,69.77530337,57.84076433,89.78723404,91.87731481,84.26952141,69.41176471,74.67567568,54.06896552,36.27118644
6069,28.60949579,77.01428673,48,49,54,,41,,,,
6070,28.60549579,77.01428673,31,,30,,32,,,,
6071,28.60149579,77.01428673,46.5,,55,,38,,,,
6076,28.58149579,77.01428673,79.43263355,70.88888889,40.98717949,120.5,110,109,90.16,44.3,49.625
6085,28.54549579,77.01428673,75,75,,,,,,,
6139,28.80749579,77.01775083,66.45833333,,,,102,94.33333333,,35.5,34
6147,28.77549579,77.01775083,51.58799603,28,73,119,61.14285714,64.5,28.75,18.11111111,20.2
6148,28.77149579,77.01775083,38.68707483,37.5,42,,78.66666667,54.28571429,29.5,18.85714286,10
6149,28.76749579,77.01775083,31.16380236,28.57142857,32.5,,55.83333333,50.28571429,27.66666667,17.78947368,5.5
6150,28.76349579,77.01775083,30.73809524,27.16666667,44.66666667,,50,29.66666667,33.25,17.41666667,13
6151,28.75949579,77.01775083,39.02777778,,41.5,,64,58.5,25,22.5,22.66666667
6157,28.73549579,77.01775083,27,,,,,,,27,
6170,28.68349579,77.01775083,97.22825075,54.36111111,113.3870968,164.9259259,169.1724138,145.1428571,59,34.77777778,37.05882353
6174,28.66749579,77.01775083,64.91096778,122,81.5,51.52542373,,,,42.35820896,27.17120623
6175,28.66349579,77.01775083,79.33833333,142,103.125,52,,,,64.7,34.86666667
6176,28.65949579,77.01775083,106.7810971,63.33333333,132.3283582,163.6111111,173.0454545,135.8333333,88.70588235,55,42.39130435
6177,28.65549579,77.01775083,106.7364583,75.83333333,115.1333333,175,120.75,167,95,57.875,47.3
6178,28.65149579,77.01775083,112.8306818,53.2,114.5833333,212.3333333,161.75,155,102.4,58.83333333,44.54545455
6179,28.64749579,77.01775083,113.6542732,64.16666667,92.66666667,150.3,173.6086957,175,126.0588235,72.93333333,54.5
6180,28.64349579,77.01775083,100.0403266,70.14049587,103.2074074,157.5789474,132.8928571,119.1847826,97,67.53846154,52.77966102
6185,28.62349579,77.01775083,117,117,,,,,,,
6186,28.61949579,77.01775083,109.6867837,57.53608247,182.1356383,212.5833333,143.5874126,116.3977273,71.20141343,56.28735632,37.76530612
6187,28.61549579,77.01775083,97.5,,53,,,,142,,
6188,28.61149579,77.01775083,62.75,50,61,,75,65,,,
6190,28.60349579,77.01775083,46.25,,53.5,,39,,,,
6191,28.59949579,77.01775083,41,,,,41,,,,
6196,28.57949579,77.01775083,70.08669269,58.96774194,75.26865672,143.3333333,107.6666667,47,50,38.6,39.85714286
6201,28.55949579,77.01775083,113,,,,113,,,,
6205,28.54349579,77.01775083,105.6609827,67.90909091,100.3111111,134.5185185,175.3680556,124.5354331,119.4130435,74.45,48.7826087
6260,28.80549579,77.02121494,76.5,,,130,,116,23,37,
6266,28.78149579,77.02121494,48.08418367,35.4,63.8,,80.8,81.71428571,33,25,16.875
6267,28.77749579,77.02121494,53.25733902,29,65.375,115,65.5,75.45454545,40.66666667,18.8125,16.25
6291,28.68149579,77.02121494,99.81424082,39.25641026,114.9333333,171.5,187.2352941,140.4,65.2,52.38888889,27.6
6298,28.65349579,77.02121494,118,,,,,,188,,48
6299,28.64949579,77.02121494,44,,44,,,,,,
6300,28.64549579,77.02121494,108.0081737,72.68141593,128.5034965,187.7,139.2344498,131.5909091,93.3125,52.93150685,58.11111111
6301,28.64149579,77.02121494,136.5833333,46.33333333,,213,228,,59,,
6302,28.63749579,77.02121494,40.33333334,48.66666667,,,,,,,32
6304,28.62949579,77.02121494,67,,,,,,67,,
6305,28.62549579,77.02121494,51,51,,,,,,,
6306,28.62149579,77.02121494,97.9811574,58.27717391,105.411215,144.0588235,175.5631579,111.6,87,64.68888889,37.25
6307,28.61749579,77.02121494,101.9,82,51,,114.5,113,149,,
6312,28.59749579,77.02121494,51,,60,,42,,,,
6313,28.59349579,77.02121494,61.5,,77,,46,,,,
6316,28.58149579,77.02121494,97.06945921,38.75,119.5833333,233.8723404,74,114,43.5,111.25,41.6
6326,28.54149579,77.02121494,106.3969029,63.11486486,116.1777778,152.2809524,148.260274,116.037037,108.0175439,75.05376344,72.23300971
6379,28.80749579,77.02467904,66.875,,,116,,82.5,,29,40
6384,28.78749579,77.02467904,57.99457071,38.55555556,67.66666667,112,66.66666667,80.8,49.54545455,31.72222222,17
6385,28.78349579,77.02467904,74.91725949,34,112.4285714,191.3333333,98.3,92.07692308,38.85714286,20.84210526,11.5
6397,28.73549579,77.02467904,30,,,,,,,30,
6408,28.69149579,77.02467904,106,,,,182,,109,,27
6409,28.68749579,77.02467904,82.11296296,,,142,94.5,82.83333333,79.5,57.4,36.44444444
6410,28.68349579,77.02467904,116.8577108,96.71428571,131.0740741,138.1666667,182.7146433,161.4651163,105.4666667,62.94444444,56.31578947
6413,28.67149579,77.02467904,45,,,,,,,,45
6419,28.64749579,77.02467904,117.288891,71.20895522,146.1698113,191.4848485,152.1891892,150.5483871,101.8208955,64.5890411,60.3
6420,28.64349579,77.02467904,48,,,,,,,48,
6421,28.63949579,77.02467904,45.5,,,,,,,57,34
6422,28.63549579,77.02467904,165.7083333,51.83333333,285,,207,,119,,
6423,28.63149579,77.02467904,129.75,62,,,197.5,,,,
6424,28.62749579,77.02467904,50,50,,,,,,,
6425,28.62349579,77.02467904,48,25,,,,,50,69,
6426,28.61949579,77.02467904,86.11161316,62.45454545,100.9863946,118.3846154,121.8571429,115.238806,70.08917197,63.075,36.80722892
6427,28.61549579,77.02467904,74,,,,74,,,,
6433,28.59149579,77.02467904,58.75,,70,,47.5,,,,
6434,28.58749579,77.02467904,42,,,,42,,,,
6436,28.57949579,77.02467904,109.3511752,87,115.3055556,191.6538462,113.2,137.4,129,49,52.25
6446,28.53949579,77.02467904,96.30686243,76.12745098,108.6754386,140.3578947,138.9607843,105.2666667,79.71428571,77.29577465,44.05660377
6500,28.80549579,77.02814314,86.125,,,87,,85.25,,,
6501,28.80149579,77.02814314,39.83333334,,,,,,,35.66666667,44
6502,28.79749579,77.02814314,40.75,,38,,56,46.5,46,20.5,37.5
6503,28.79349579,77.02814314,80.20455585,42.77777778,106.2222222,197.8333333,94.91666667,97.07692308,52.71428571,33.52380952,16.57142857
6504,28.78949579,77.02814314,73.51388889,47.5,110,120.75,114.8,97.83333333,43.66666667,36.45,17.11111111
6518,28.73349579,77.02814314,29,,,,,,,29,
6521,28.72149579,77.02814314,71,,,,,,,71,
6522,28.71749579,77.02814314,103.5,,,,,,,103.5,
6523,28.71349579,77.02814314,79.83333334,81.66666667,,,,,,78,
6524,28.70949579,77.02814314,90.48958332,74.64583333,,,,,,106.3333333,
6525,28.70549579,77.02814314,109.5,101,,,,,,118,
6526,28.70149579,77.02814314,119,97,,,,,,141,
6527,28.69749579,77.02814314,62.7492118,80.5,,83.5,68.66666667,67.93406593,65.8,46.96875,25.875
6528,28.69349579,77.02814314,77.67857142,80,,88,112.3333333,81.75,80,62,39.66666667
6529,28.68949579,77.02814314,102.8666667,,,145,97,112.3333333,,69,91
6530,28.68549579,77.02814314,77.14829932,62,,128,101,74,70.66666667,59.8,44.57142857
6531,28.68149579,77.02814314,119.3125348,64,122.575,171.0967742,169.8777778,200.6351351,125.2571429,57.62601626,43.43243243
6533,28.67349579,77.02814314,124,,124,,,,,,
6534,28.66949579,77.02814314,34,,,,,,,,34
6538,28.65349579,77.02814314,148,,,,148,,,,
6539,28.64949579,77.02814314,102.8696337,70.20212766,101.6530612,167.5833333,139.44,123.244898,94.625,65.45212766,60.75652174
6540,28.64549579,77.02814314,52.5,,,74,,,,,31
6546,28.62149579,77.02814314,39.33333334,41.66666667,,,,,,,37
6547,28.61749579,77.02814314,86.15619963,60.375,99.20192308,129.7777778,125.0566038,117.0416667,68.95348837,54.66666667,34.17647059
6555,28.58549579,77.02814314,46,,58,,34,,,,
6557,28.57749579,77.02814314,107.3132546,62.4,105.2121212,183.0357143,150.1111111,166.4285714,58.46296296,57.55555556,75.3
6564,28.54949579,77.02814314,118.4666667,105.2,173.6666667,140,,,55,,
6565,28.54549579,77.02814314,91.20833333,81.33333333,115.3333333,116.5,,,,,51.66666667
6566,28.54149579,77.02814314,93.91273755,67.31395349,118.625,108.0465116,125.5555556,103.625,102.4565217,70.20567376,55.47368421
6567,28.53749579,77.02814314,113.0850938,71.70833333,84.12,126.2222222,136.9090909,141.2,142.1818182,122.7142857,79.625
6620,28.80349579,77.03160724,91.75,,,215.5,,90,27,34.5,
6621,28.79949579,77.03160724,76.45446429,38,116.75,178,101.2,84.71428571,37.57142857,40.4,15
6622,28.79549579,77.03160724,70.51096059,36.18181818,89.84615385,140.25,103.6923077,89.63157895,48.33333333,35.51612903,20.63636364
6623,28.79149579,77.03160724,163,,,,,163,,,
6638,28.73149579,77.03160724,32,,,,,,,32,
6639,28.72749579,77.03160724,33,,,,,,,33,
6646,28.69949579,77.03160724,61.68253968,,,71.75,112.75,82.66666667,46,20.5,36.42857143
6649,28.68749579,77.03160724,201,,,201,,,,,
6650,28.68349579,77.03160724,107.5077808,68.16129032,103.0689655,147.5263158,183.5333333,155.4117647,95.4375,62.42307692,44.5
6651,28.67949579,77.03160724,93.75,89,98.5,,,,,,
6658,28.65149579,77.03160724,94.11851719,75.20289855,84.15238095,142.4411765,125.6744186,114.6730769,95.34615385,50.50957854,64.94845361
6659,28.64749579,77.03160724,29,,,,,,,,29
6666,28.61949579,77.03160724,71.97515021,53.86963696,85.1147541,108.139881,105.2719547,98.93485342,64.54918033,35.168,24.75294118
6667,28.61549579,77.03160724,69.37066732,50.68292683,74.41666667,126.6981132,102.2787879,109.7213115,54.57142857,23.7,12.8961039
6668,28.61149579,77.03160724,71.28020833,50,72.8,142.4,113.5,48.66666667,71.66666667,20.33333333,50.875
6669,28.60749579,77.03160724,103,,,,,,,,103
6676,28.57949579,77.03160724,112.928442,84.26086957,104.5,197,152,135,108.1666667,61.5,61
6683,28.55149579,77.03160724,121.9,148,231.5,126,,,63,,41
6684,28.54749579,77.03160724,67.23333334,80.5,58,120.6666667,,,59,,18
6685,28.54349579,77.03160724,163,,232,94,,,,,
6686,28.53949579,77.03160724,109.1438567,66.35348837,105.2100457,125.9007634,126.952381,208.3642384,107.0144928,84.49019608,48.86524823
6741,28.80149579,77.03507134,96.74418934,53.56521739,118.68,180.2105263,157.6338028,99.06,47.76666667,91.39285714,25.64444444
6742,28.79749579,77.03507134,76.22156321,46,105.6,158,98.36363636,89.54285714,53.33333333,37.73913043,21.19354839
6766,28.70149579,77.03507134,50.12670251,,,59.20454545,67,76.57142857,51.81578947,32.24074074,13.92771084
6767,28.69749579,77.03507134,33.82954546,,,53.5,,,28,22,31.81818182
6769,28.68949579,77.03507134,175,,,175,,,,,
6771,28.68149579,77.03507134,122.0627033,71.89655172,142.4482759,185.5454545,187.4285714,169,80.82142857,73.64705882,65.71428571
6778,28.65349579,77.03507134,94.22418349,60.20308483,92.94512195,128.1636364,117.9868421,123.030303,100.210084,63.65,67.6043956
6779,28.64949579,77.03507134,48.5,,,,,,,,48.5
6780,28.64549579,77.03507134,87,,87,,,,,,
6781,28.64149579,77.03507134,177,,,,,,177,,
6786,28.62149579,77.03507134,90.02691137,62.97058824,89.27906977,166.5308642,114.675,130.3333333,71.09090909,55.21052632,30.125
6787,28.61749579,77.03507134,85.54586485,52.73469388,89.875,142.5333333,112.9166667,116.4,76.93103448,52.33333333,40.64285714
6788,28.61349579,77.03507134,66.34407945,54.35294118,74.05714286,93.44,104.9615385,96.2,70.375,25.77777778,11.58823529
6789,28.60949579,77.03507134,60.78420773,50.47945205,76.88,96.29508197,93,75.19565217,60.67307692,21.61403509,12.13636364
6790,28.60549579,77.03507134,59.99523438,47.16,57,113.2763158,92.81914894,77.01538462,59.08,20.05333333,13.55769231
6791,28.60149579,77.03507134,119,,,119,,,,,
6795,28.58549579,77.03507134,47.5,,54,,41,,,,
6797,28.57749579,77.03507134,102.6501533,81.38961039,103.8977273,159.4444444,168.6666667,133.1111111,106.4666667,26.875,41.35
6803,28.55349579,77.03507134,90.375,92,71.5,139,,,,,59
6807,28.53749579,77.03507134,94.8961452,68.71014493,98.73701299,119.0076336,122.3469388,109.7021277,102.5066667,81.56081081,56.59782609
6860,28.80349579,77.03853544,85.48692228,37.625,152.6666667,173.2,109.6666667,96.58823529,48.85714286,34.45833333,30.83333333
6861,28.79949579,77.03853544,61.95935374,41,81.66666667,,103.3333333,96.66666667,42.85714286,39.06666667,29.125
6887,28.69549579,77.03853544,165,,,165,,,,,
6888,28.69149579,77.03853544,154,,,154,,,,,
6890,28.68349579,77.03853544,123.7801384,56.91666667,136.6190476,183.3043478,195.2439024,164.4761905,126.5,82.71428571,44.46666667
6891,28.67949579,77.03853544,114.5,102,127,,,,,,
6897,28.65549579,77.03853544,106.5536956,60.96075353,126.5466667,174.8571429,160.1733333,121.4328358,98.47154472,72.75,37.23728814
6898,28.65149579,77.03853544,118,,,193,,,,,43
6906,28.61949579,77.03853544,77.61298842,53.67258383,72.21804511,124.4848485,107.4725275,107.4318182,72.67857143,54.15384615,28.79166667
6909,28.60749579,77.03853544,122,,,122,,,,,
6910,28.60349579,77.03853544,60.42173187,47.20382166,67.35483871,94.84895833,97.95811518,83.73943662,61.00617284,20.216,11.04651163
6915,28.58349579,77.03853544,43.66666667,,48.33333333,,39,,,,
6916,28.57949579,77.03853544,67.6,45,89,,132,,,41,31
6917,28.57549579,77.03853544,77.30073053,75.72727273,87.96969697,102.6136364,124.6666667,70.8,71.42857143,42.6,42.6
6918,28.57149579,77.03853544,51,,,,,,51,,
6919,28.56749579,77.03853544,75.43333333,69.66666667,91,135,,,63,,18.5
6920,28.56349579,77.03853544,57.89285714,56.5,,99,,,55.5,,20.57142857
6921,28.55949579,77.03853544,101.5972222,66,155.25,123.6666667,148,,93,,23.66666667
6922,28.55549579,77.03853544,84.625,,136,118.5,,,63,,21
6926,28.53949579,77.03853544,97.24160956,62.60185185,97,111.7142857,125.952381,122.5555556,115.8918919,75.13924051,67.0776699
6927,28.53549579,77.03853544,90.16798374,70.48888889,104.4571429,115.1111111,158.7,69.61538462,73.46153846,81.84313725,47.66666667
6980,28.80549579,77.04199954,116.8333333,19,204,355,,119.5,34,56.33333333,30
6981,28.80149579,77.04199954,85.4766865,34.25,118,179.1428571,157.5,96.5,42.44444444,29.33333333,26.64285714
6982,28.79749579,77.04199954,97,,97,,,,,,
7011,28.68149579,77.04199954,113.5841585,60.72131148,121.6111111,201.3571429,201.9852941,139.8333333,89.76,45.08928571,48.31578947
7016,28.66149579,77.04199954,39,,,,,,,,39
7017,28.65749579,77.04199954,110.4247525,84.90625,117.0921986,179.2043011,128.9315068,130.0408163,110.8723404,72.13541667,60.21518987
7018,28.65349579,77.04199954,148.1666667,,,,285.5,,,66,93
7026,28.62149579,77.04199954,80.71010908,70.02777778,91.51428571,100.7407407,119.3125,101.7307692,73.08474576,58.08823529,31.18181818
7027,28.61749579,77.04199954,95,95,,,,,,,
7031,28.60149579,77.04199954,63.80122062,52.25694444,71.28729282,102.3955224,125.4270833,73.95798319,57.05421687,17.60215054,10.42857143
7034,28.58949579,77.04199954,32,,32,,,,,,
7035,28.58549579,77.04199954,31.5,,31.5,,,,,,
7036,28.58149579,77.04199954,45,,,,45,,,,
7037,28.57749579,77.04199954,73.14044298,63.10869565,71.64948454,109.1219512,109.4666667,78.84210526,81.5,46.61111111,24.82352941
7038,28.57349579,77.04199954,49.83333333,58,47,84,,,,,10.33333333
7039,28.56949579,77.04199954,58,58,,,,,,,
7040,28.56549579,77.04199954,47.45833333,43.33333333,86,,,,31,,29.5
7041,28.56149579,77.04199954,50,45,,,,,48,,57
7042,28.55749579,77.04199954,64.75,60,,69.5,,,,,
7047,28.53749579,77.04199954,90.18995834,51.50806452,93.81343284,114.012987,117.3770492,116.6129032,99.38596491,65.09016393,63.71910112
7099,28.80749579,77.04546365,43.5,,,,,,32,55,
7100,28.80349579,77.04546365,90.96111111,39.33333333,140.3333333,214.5,122.9,95.9,50.25,34.22222222,30.25
7101,28.79949579,77.04546365,133,,133,,,,,,
7130,28.68349579,77.04546365,122.1164096,69.69863014,122.5625,202.75,190.0588235,178.2741935,99.47058824,66.47368421,47.64285714
7131,28.67949579,77.04546365,55,46,64,,,,,,
7136,28.65949579,77.04546365,115.0482941,72.80555556,128.3859649,182.95,147.3333333,159.6363636,105.4022989,67.734375,56.13846154
7137,28.65549579,77.04546365,31,,,,,,,,31
7146,28.61949579,77.04546365,94.43739007,70.8359375,102.0588235,149.9459459,128.1594203,133.75,84.73417722,50.32467532,35.69014085
7150,28.60349579,77.04546365,60.80575193,49.2247191,69.63076923,100.7924528,101.3555556,81.35294118,57.51968504,17.90322581,8.666666667
7153,28.59149579,77.04546365,33,,33,,,,,,
7157,28.57549579,77.04546365,73.46606205,50.77272727,81.33333333,102.9333333,107.8333333,105,72.625,41,26.23076923
7159,28.56749579,77.04546365,74,45,,145,,,47,,59
7161,28.55949579,77.04546365,57.75,,,,,,86.5,,29
7162,28.55549579,77.04546365,67,67,,,,,,,
7167,28.53549579,77.04546365,91.27704034,56.54205607,102.7044025,125.6370968,116.1981982,109.5853659,100.0243902,71.94886364,47.57594937
7219,28.80949579,77.04892775,77.29829546,38.4,112.1818182,159.5,118.25,96.53333333,35.16666667,36.9,21.45454545
7220,28.80549579,77.04892775,77.20765898,54.7,102.6666667,173,100.9285714,94.64,33.05555556,34.32432432,24.34615385
7249,28.68949579,77.04892775,102,,102,,,,,,
7251,28.68149579,77.04892775,114.2902548,73.95238095,114.9038462,180.7777778,182.258427,172.3809524,104.1034483,40.94520548,45
7255,28.66549579,77.04892775,78.5,,,,,,,,78.5
7256,28.66149579,77.04892775,114.4361355,80.79230769,131.0352941,183.9294118,154.3170732,130.826087,123.415,60.65254237,50.52136752
7257,28.65749579,77.04892775,201,,,478,,,,95,30
7258,28.65349579,77.04892775,76,,,76,,,,,
7259,28.64949579,77.04892775,51,,,,,,51,,
7264,28.62949579,77.04892775,86,,86,,,,,,
7266,28.62149579,77.04892775,80.70910885,70.47560976,83.71428571,123.0689655,102.7462687,115.15,67.68115942,49.79310345,33.04347826
7267,28.61749579,77.04892775,88,,,,,,,88,
7270,28.60549579,77.04892775,59.15910285,49.5625,68.15116279,94.875,98.54411765,73.8,59.15254237,18.52083333,10.66666667
7271,28.60149579,77.04892775,93,93,,,,,,,
7272,28.59749579,77.04892775,36,,36,,,,,,
7278,28.57349579,77.04892775,68.23741071,48.875,70.36,107,96.75,148,36,16.2,22.71428571
7279,28.56949579,77.04892775,88.61190475,47.66666667,151.1428571,140,,,43.5,,60.75
7280,28.56549579,77.04892775,67.73781311,57.57142857,123.8976378,94.33333333,,,55.84615385,50.57142857,24.20689655
7282,28.55749579,77.04892775,42,45,,,,,,,39
7283,28.55349579,77.04892775,112,65,232,66,145,,132,,32
7288,28.53349579,77.04892775,92.35393764,66.40833333,86.35502959,128.0891089,115.6702128,105.9782609,109.9305556,77.21818182,49.18181818
7338,28.81149579,77.05239185,72.7922619,42,85,151.7142857,106.7142857,97.5,34.6,43.64285714,21.16666667
7339,28.80749579,77.05239185,53.33333333,,,,60,,63,37,
7369,28.68749579,77.05239185,57,,102,,,,,,12
7370,28.68349579,77.05239185,112.2448449,60.38626609,122.12,247.1271676,179.9693654,143.5924092,58.57081545,53.50761421,32.68512111
7371,28.67949579,77.05239185,158,,,158,,,,,
7374,28.66749579,77.05239185,69.44444445,68,51,,,130,74.5,39.5,53.66666667
7375,28.66349579,77.05239185,107.606495,78.77108434,116,173.029703,133.2835821,140.9512195,104.3705882,62.44578313,52
7376,28.65949579,77.05239185,70.33333333,35,,,,,113,63,
7377,28.65549579,77.05239185,61,,,,,,61,,
7378,28.65149579,77.05239185,49.5,,,,,,49.5,,
7379,28.64749579,77.05239185,130.2970944,62.97435897,204.8727273,177.0808081,160.2,261.8923077,109.75,44.86823529,20.73831776
7385,28.62349579,77.05239185,80.75,,140,,,,58,83,42
7386,28.61949579,77.05239185,72.61598374,58.88,75.125,101.25,95.10204082,100.8461538,72.4,47.18181818,30.14285714
7390,28.60349579,77.05239185,50.61679162,48.68421053,51.37410072,82.61016949,76.23214286,68.81395349,51.39622642,18.11764706,7.705882353
7391,28.59949579,77.05239185,85.11901709,56.77777778,68.69230769,149.125,,148,,,3
7397,28.57549579,77.05239185,70.42057226,47.61538462,82.37931034,112.8421053,101,109,63,12.75,34.77777778
7398,28.57149579,77.05239185,57.02222222,52.83333333,92.66666667,84,,,38.5,,17.11111111
7400,28.56349579,77.05239185,31,31,,,,,,,
7401,28.55949579,77.05239185,119,119,,,,,,,
7402,28.55549579,77.05239185,51.82010582,49.57142857,,77,,,53.85714286,,26.85185185
7403,28.55149579,77.05239185,110.5,,,,,,167,,54
7408,28.53149579,77.05239185,94.46386144,56.55242967,89.32038835,120.3925,128.4012346,114.1764706,132.1497006,68.32065217,46.39751553
7458,28.81349579,77.05585595,81.0279762,35.85714286,90.6,194.1666667,110.7,122.4166667,41.9,29.5,23.08333333
7473,28.75349579,77.05585595,103,,,103,,,,,
7489,28.68949579,77.05585595,98,,98,,,,,,
7490,28.68549579,77.05585595,63,63,,,,,,,
7491,28.68149579,77.05585595,103.0896176,51.96296296,108.4897959,163.5018727,194.6756757,156.6176471,70.71698113,49.43382353,29.31818182
7494,28.66949579,77.05585595,111.4718911,76.06818182,122.7831325,183.877193,142.6547619,152.9933333,107.9285714,58.75177305,46.71818182
7495,28.66549579,77.05585595,105.3056661,79.99056604,109.4710744,173.9047619,144.84,124.0638298,96.30147059,62.64285714,51.23076923
7496,28.66149579,77.05585595,111.6580598,29.77777778,275.3333333,148.6857143,137.1555556,117.3333333,103.6216216,33,48.35714286
7497,28.65749579,77.05585595,106.6685022,42.83333333,259,144.1,132.2244898,120.4444444,81.04878049,36,37.6969697
7498,28.65349579,77.05585595,109.0139638,46.23404255,242,168.3684211,138.4972578,105.6034483,85.38607595,48.04878049,37.97368421
7499,28.64949579,77.05585595,98,,,,,,,98,
7500,28.64549579,77.05585595,83.89865592,70.66666667,77,141,80,165,52.5,55.32258065,29.7
7501,28.64149579,77.05585595,56.30429293,45.5,88,,47,,93.33333333,40.24242424,23.75
7502,28.63749579,77.05585595,50.77777778,55.5,81,,45,,,46.88888889,25.5
7505,28.62549579,77.05585595,224,,224,,,,,,
7506,28.62149579,77.05585595,71.18880863,60.39784946,58.51260504,103.75,103.5121951,97.13636364,59.60869565,51.76923077,34.82352941
7507,28.61749579,77.05585595,49,,,,,,,,49
7510,28.60549579,77.05585595,57.46059031,50.32653061,69.37815126,92.88607595,91.72807018,75.12328767,50.46987952,18.45454545,11.31818182
7511,28.60149579,77.05585595,56.39102745,49.89108911,62.1734104,97.52671756,85.88034188,73.21,48.53982301,16.72222222,17.18461538
7512,28.59749579,77.05585595,88.8504762,59.28571429,71.25,151.3,,157.6666667,,,4.75
7517,28.57749579,77.05585595,72.63541582,51.94736842,88.91463415,111.8688525,124.5,106.1764706,64.28070175,9.472222222,23.92307692
7518,28.57349579,77.05585595,55.19444445,66.8,101.6666667,82.5,,,47,7.5,25.7
7523,28.55349579,77.05585595,17.25925926,27,,,,,18,,6.777777778
7524,28.54949579,77.05585595,55.83333333,,63,,,,48,,56.5
7528,28.53349579,77.05585595,90.99961025,69.06976744,99.36460808,123.4509091,126.0751174,119.8356164,93.06289308,54.99576869,42.14220183
7576,28.81949579,77.05932005,43.33333333,,,,,,41,56,33
7577,28.81549579,77.05932005,65.26049107,38,80.6,99,111.25,90.0625,36.57142857,38.3,28.3
7593,28.75149579,77.05932005,109,,,109,,,,,
7609,28.68749579,77.05932005,80,80,,,,,,,
7610,28.68349579,77.05932005,102.7605185,55.34545455,106.6129032,178.7209302,174.2142857,145.0625,71.08333333,51.7755102,39.26923077
7611,28.67949579,77.05932005,49,33,,,,,,,65
7612,28.67549579,77.05932005,100.0199522,74.13513514,104.9791667,167.8709677,141.1818182,117.1935484,95.79104478,55.28571429,43.72222222
7613,28.67149579,77.05932005,102.8256891,75.10447761,112.4444444,172.6612903,138.8210526,117.3798077,101.7984496,57.77205882,46.62393162
7614,28.66749579,77.05932005,78,,,,,,78,,
7616,28.65949579,77.05932005,148.3333333,,,,305,,50,,90
7617,28.65549579,77.05932005,130.25,,,175,205,,48,,93
7621,28.63949579,77.05932005,55.65476191,38.5,66,,58,,110,39.42857143,22
7622,28.63549579,77.05932005,42.875,,72,,43,,,36,20.5
7625,28.62349579,77.05932005,75.23000667,63.52631579,78.00462963,99.24367089,112.576087,118.010101,53.25,43.95652174,33.27272727
7626,28.61949579,77.05932005,56,,,,,,,,56
7630,28.60349579,77.05932005,58.56067127,50.26315789,56.22222222,110.622549,85.8,74.37037037,63.61111111,19.81818182,7.777777778
7631,28.59949579,77.05932005,62.60104313,51.88541667,60.65283019,98.21468927,94.97345133,78.89393939,82.74172185,21.37962963,12.06666667
7632,28.59549579,77.05932005,59.16820512,51,29,146.5333333,,,63,6.307692308,
7636,28.57949579,77.05932005,84.01483518,50.63888889,105.4223433,135.5783133,129.9459459,186.7945205,42.625,4.578947368,16.53472222
7637,28.57549579,77.05932005,20.25,31,,,,,,,9.5
7644,28.54749579,77.05932005,116,,110,,122,,,,
7647,28.53549579,77.05932005,95.14336511,61.07407407,103.996063,113.2119205,117.4090909,124.1969697,137.1002865,65.14942529,39.00909091
7648,28.53149579,77.05932005,89.04518592,82.81034483,83.80357143,108.0694444,118.0930233,122.6666667,87.05714286,67.84375,42.01754386
7696,28.82149579,77.06278415,62.62993055,38.2,104.4444444,82,97,89.75,33,35.52,21.125
7697,28.81749579,77.06278415,72.68111923,27,78.875,174.8888889,118.75,87.36363636,31.5,39.07142857,24
7728,28.69349579,77.06278415,31,,,,,,,31,
7730,28.68549579,77.06278415,102,,102,,,,,,
7731,28.68149579,77.06278415,122.021305,83.14851485,163.0153374,204.4257426,191.6992481,153.525,81.17777778,44.734375,54.44444444
7732,28.67749579,77.06278415,116.3264413,70.29551451,199.5372093,183.0677966,154.7428571,127.9727273,101.2116402,53.50632911,40.27745665
7733,28.67349579,77.06278415,98.39338385,66.95,108.2272727,154,131.8888889,138.0434783,89.40540541,58.41463415,40.2173913
7734,28.66949579,77.06278415,74,,,,,,74,,
7736,28.66149579,77.06278415,48,,,,,,48,,
7737,28.65749579,77.06278415,243.5,,,146,341,,,,
7741,28.64149579,77.06278415,157,,,,,,157,,
7742,28.63749579,77.06278415,88.11111111,52,177,,,,,35.33333333,
7743,28.63349579,77.06278415,64.62619048,29,72,135,54,,80,45.63333333,36.75
7744,28.62949579,77.06278415,39,39,,,,,,,
7745,28.62549579,77.06278415,104.897774,67.19298246,104.2868852,290.5710456,125.9242424,118.2,55.29411765,42.39473684,35.31818182
7746,28.62149579,77.06278415,90.97819368,54.125,97.30769231,113,125,123.1428571,80.25,89,46
7751,28.60149579,77.06278415,73.1774808,54.2,84.25,139.1851852,83.42857143,138.25,42.0625,37.07692308,6.966666667
7752,28.59749579,77.06278415,61.61875816,48.27946128,75.91304348,97.56422018,95.12809917,81.59776536,53.25698324,28.2513089,12.95918367
7755,28.58549579,77.06278415,74.29957386,51.4375,95.9,157.9090909,118,106.5,32.75,11.5,20.4
